,"Адрес точки, г. Краснодар",офис_2,офис_1,офис_3,"п. Березовый, ул. Целиноградская, д. 6/1","ст-ца. Елизаветинская, ул. Широкая, д. 260","тер. Пашковский жилой массив, ул. Крылатая, д. 2","ул. 1-го Мая, д. 268","ул. Восточно-Кругликовская, д. 64/2","ул. Зиповская, д. 1","ул. Коммунаров, д. 258","ул. Красная, д. 145","ул. Красная, д. 149","ул. Красная, д. 154","ул. Красная, д. 176","ул. Красноармейская, д. 126","ул. Красных Партизан, д. 117","ул. Красных Партизан, д. 439","ул. Российская, д. 418","ул. Северная, д. 326","ул. Северная, д. 327","ул. Северная, д. 389","ул. Северная, д. 524","ул. Ставропольская, д. 140","ул. Таманская, д. 153 к. 3, кв. 2","ул. Уральская, д. 117","ул. Уральская, д. 162","ул. Уральская, д. 166/3","ул. Уральская, д. 78","ул. Уральская, д. 79/1","ул. им. 40-летия Победы, д. 20/1","ул. им. 40-летия Победы, д. 34","ул. им. Атарбекова, д. 24","ул. им. Володи Головатого, д. 313","ул. им. Героя Аверкиева А.А., д. 8","ул. им. Дзержинского, д. 100","ул. им. Дзержинского, д. 101","ул. им. Дзержинского, д. 102","ул. им. Дзержинского, д. 165","ул. им. Кирилла Россинского, д. 61/1","ул. им. Максима Горького, д. 128","ул. им. Селезнева, д. 197/5","ул. им. Селезнева, д. 76","ул. им. Тургенева, д. 106","ул. им. Тургенева, д. 174, 1 этаж","х. Ленина, п/о. 37"
0,"п. Березовый, ул. Целиноградская, д. 6/1",0.56,0.27,0.3,,0.48,0.54,0.26,0.29,0.26,0.28,0.27,0.26,0.34,0.28,0.33,0.36,0.29,0.18,0.34,0.32,0.33,0.34,0.46,0.47,0.53,0.55,0.55,0.43,0.48,0.27,0.27,0.28,0.32,0.3,0.18,0.2,0.13,0.15,0.27,0.35,0.47,0.41,0.31,0.24,0.66
1,"ст-ца. Елизаветинская, ул. Широкая, д. 260",0.64,0.36,0.26,0.5,,0.79,0.54,0.57,0.45,0.41,0.35,0.35,0.39,0.36,0.38,0.21,0.28,0.49,0.34,0.4,0.42,0.43,0.49,0.53,0.62,0.63,0.64,0.5,0.57,0.45,0.46,0.29,0.35,0.56,0.43,0.38,0.38,0.39,0.58,0.41,0.57,0.5,0.29,0.36,0.88
2,"тер. Пашковский жилой массив, ул. Крылатая, д. 2",0.14,0.42,0.5,0.63,0.81,,0.47,0.47,0.52,0.45,0.47,0.49,0.43,0.46,0.43,0.63,0.52,0.53,0.48,0.34,0.38,0.37,0.34,0.31,0.18,0.2,0.2,0.27,0.26,0.47,0.47,0.58,0.47,0.44,0.67,0.52,0.56,0.6,0.47,0.4,0.22,0.28,0.52,0.59,0.18
3,"ул. 1-го Мая, д. 268",0.3,0.19,0.29,0.34,0.54,0.45,,0.03,0.12,0.2,0.2,0.2,0.25,0.21,0.25,0.35,0.25,0.08,0.27,0.19,0.19,0.16,0.24,0.23,0.28,0.29,0.3,0.16,0.23,0.09,0.09,0.3,0.27,0.04,0.28,0.23,0.22,0.24,0.15,0.26,0.23,0.16,0.25,0.25,0.54
4,"ул. Восточно-Кругликовская, д. 64/2",0.33,0.24,0.32,0.35,0.59,0.47,0.04,,0.16,0.24,0.24,0.24,0.27,0.25,0.27,0.4,0.3,0.1,0.31,0.21,0.2,0.19,0.26,0.26,0.32,0.33,0.34,0.19,0.26,0.13,0.13,0.34,0.29,0.06,0.31,0.27,0.27,0.28,0.15,0.28,0.26,0.19,0.29,0.3,0.57
5,"ул. Зиповская, д. 1",0.37,0.09,0.18,0.3,0.42,0.49,0.16,0.19,,0.09,0.09,0.08,0.16,0.1,0.15,0.24,0.14,0.16,0.16,0.14,0.14,0.15,0.27,0.28,0.32,0.34,0.34,0.24,0.28,0.09,0.1,0.19,0.16,0.19,0.22,0.12,0.16,0.15,0.25,0.16,0.28,0.21,0.14,0.15,0.59
6,"ул. Коммунаров, д. 258",0.29,0.07,0.16,0.37,0.42,0.38,0.2,0.23,0.13,,0.07,0.06,0.07,0.07,0.06,0.22,0.13,0.22,0.09,0.06,0.05,0.07,0.18,0.2,0.26,0.27,0.28,0.16,0.2,0.12,0.12,0.18,0.09,0.21,0.25,0.16,0.21,0.19,0.3,0.07,0.21,0.14,0.13,0.18,0.5
7,"ул. Красная, д. 145",0.35,0.05,0.1,0.41,0.36,0.45,0.26,0.29,0.18,0.1,,0.05,0.12,0.07,0.11,0.17,0.08,0.27,0.08,0.12,0.11,0.13,0.24,0.27,0.33,0.34,0.35,0.22,0.27,0.17,0.18,0.13,0.08,0.27,0.25,0.14,0.25,0.19,0.36,0.12,0.27,0.2,0.07,0.13,0.57
8,"ул. Красная, д. 149",0.34,0.03,0.11,0.4,0.36,0.42,0.23,0.26,0.16,0.08,0.02,,0.09,0.03,0.09,0.17,0.09,0.25,0.1,0.11,0.09,0.11,0.22,0.24,0.3,0.31,0.32,0.21,0.24,0.15,0.15,0.14,0.08,0.24,0.26,0.15,0.25,0.2,0.34,0.1,0.25,0.18,0.08,0.14,0.54
9,"ул. Красная, д. 154",0.3,0.09,0.16,0.42,0.41,0.4,0.25,0.26,0.18,0.07,0.07,0.09,,0.06,0.02,0.22,0.13,0.27,0.1,0.06,0.07,0.08,0.19,0.22,0.28,0.29,0.3,0.17,0.22,0.17,0.18,0.18,0.08,0.24,0.3,0.2,0.28,0.24,0.36,0.07,0.22,0.15,0.13,0.18,0.52
10,"ул. Красная, д. 176",0.34,0.03,0.11,0.38,0.35,0.41,0.21,0.24,0.14,0.06,0.02,0.04,0.09,,0.08,0.16,0.08,0.23,0.09,0.1,0.09,0.1,0.21,0.24,0.3,0.31,0.32,0.2,0.24,0.12,0.13,0.13,0.07,0.22,0.24,0.15,0.22,0.18,0.32,0.1,0.24,0.17,0.08,0.13,0.53
11,"ул. Красноармейская, д. 126",0.3,0.08,0.15,0.37,0.39,0.43,0.23,0.26,0.15,0.07,0.06,0.08,0.05,0.05,,0.21,0.1,0.24,0.1,0.05,0.06,0.07,0.18,0.22,0.27,0.29,0.29,0.15,0.21,0.14,0.15,0.17,0.06,0.23,0.27,0.19,0.26,0.21,0.33,0.06,0.22,0.15,0.1,0.18,0.52
12,"ул. Красных Партизан, д. 117",0.48,0.21,0.1,0.41,0.22,0.57,0.39,0.42,0.32,0.23,0.19,0.19,0.24,0.2,0.22,,0.12,0.4,0.18,0.24,0.25,0.26,0.33,0.37,0.44,0.46,0.46,0.35,0.39,0.29,0.3,0.13,0.2,0.4,0.34,0.22,0.28,0.28,0.49,0.26,0.4,0.33,0.14,0.2,0.69
13,"ул. Красных Партизан, д. 439",0.39,0.09,0.04,0.37,0.3,0.53,0.28,0.31,0.18,0.14,0.09,0.08,0.13,0.09,0.12,0.11,,0.28,0.08,0.15,0.17,0.18,0.26,0.3,0.38,0.39,0.4,0.25,0.32,0.18,0.19,0.07,0.1,0.28,0.23,0.11,0.27,0.16,0.36,0.16,0.32,0.25,0.03,0.09,0.63
14,"ул. Российская, д. 418",0.39,0.21,0.29,0.26,0.5,0.49,0.09,0.11,0.16,0.2,0.2,0.19,0.27,0.21,0.26,0.35,0.25,,0.27,0.25,0.23,0.22,0.32,0.31,0.37,0.38,0.39,0.26,0.31,0.13,0.13,0.29,0.25,0.12,0.23,0.25,0.18,0.19,0.1,0.27,0.31,0.24,0.26,0.25,0.61
15,"ул. Северная, д. 326",0.56,0.09,0.15,0.34,0.34,0.48,0.27,0.31,0.16,0.09,0.08,0.1,0.1,0.09,0.1,0.18,0.08,0.27,,0.11,0.1,0.12,0.2,0.2,0.3,0.32,0.34,0.34,0.25,0.22,0.21,0.15,0.06,0.28,0.26,0.21,0.63,0.2,0.37,0.11,0.28,0.2,0.1,0.17,0.59
